日期,时间,年份,月份,国家,省市,地点,姓名,性别,身份证号,手机号,座机号/传真,政治面貌,民族,学历,专业,公司,职位,uuid,邮箱,哈希值,域名,ipv4地址,ipv6地址,mac地址,url,用户名,车牌号,信用卡号,银行名称,组织机构代码,统一社会信用代码,机关单位,医院,学校,港澳通行证号,台湾通行证号,永久居住证号,中国护照,税务登记证号,医师资格证书编号,医师执业证书编号,营业执照,车辆识别代号,公积金号,开户许可证号,银行卡号,军官证号,道路运输经营许可证号,军密认证号,药品名称,药品分类,药品规格,药品用途,药品用法,药品用量,手术类型,手术名称,科室名称,科室介绍,医疗设备,医生职称,检查指标,项目名称,项目描述,耗材名称,疾病名称,手术部位,手术器械名称,付费方式,状况状态,婚姻状况,就业状态,宗教信仰,麻醉方式,麻醉效果,血型,药物状态,分娩方式,乳房检查,胎方位,检查检验结果,病症描述,医嘱内容
1985/8,8月15日11时01分,一九八六,9月,Belgium,河南,辽宁省艳县朝阳杨街6223号,王鹏,Male,610200197410024870,86145-4102-8703,07342115131,无党派人士,汉族,非全日制初中,电气工程与智能控制,雨林木风计算机信息有限公司,学徒,a32f6337-c85a-11ed-8084-f4b5204be593,ping18@aliyun.com.net,e0107fdda8da5c2959b878410e14792e1fd6a6fc03fcdfb2e4223934a903c825,gangxiuying.cn,22.211.90.8,8ff8:d859:bc53:9d07:b6a:b146:d273:e742,6f:82:b0:04:9d:0b,https://mx.cn/,lf,晋K-N48QTS,3566412717752700,廊坊融商村镇银行,YEHDHLQ3-1,595203303LBKK7UM6E,河南驻马店工商联,复旦大学附属华山医院,九州职业技术学院,R3110108418,T88533256,NDP781394228629,E40415312,142201EFTNM4D71,201341659130727994685915136,146510623476022,410900100014217,LEWWDB332KN231491,161405517209,J7419632501528,4026585518930820096,证字第8164071号,豫交运管许可宛字411302541371号,军密认字第9717号,维生素C,非处方药,片剂,养护身体、增强免疫力等,口服,每次1片，每日2-3次,耳鼻喉科手术,喉癌手术,口腔种植科,主要进行牙齿种植、牙髓治疗等口腔修复手术,数字化诊疗系统、牙周软组织激光等,主任医师、副主任医师、医师、护士,钠（NA）,颅脑CT,颅脑CT扫描是一种用X射线技术来创建头部图像的医疗诊断工具。,A型橡胶圈,乙肝,肝胆系统,照射器、注射器、急救箱,自费和医保结合,待定,复婚,离职,祖先崇拜,静脉麻醉,麻痹,Rh阴性,已过期,产钳助产,乳腺活检,足先露,心电图异常,浮肿,禁烟酒，控制饮食，定期复查，严格按医生嘱咐服药，规律的有氧运动等。
一九七七年五月,1977年05月28日0时19分,一九七六,八月,Micronesia,海口,青海省文市长寿傅路8046号,姚秀云,Female,130636641215820,+86 133 4308 6743,05943073342,团员,彝族,电大,复合材料成型工程,图龙信息信息有限公司,水工,cae2dd0b-c85a-11ed-b507-f4b5204be593,guiyinghao@outlook.org,d819596ed4e38658ea59a75e482380e7d7dd34b0686dd731f62fd45e5140825a,jiahan.cn,48.3.8.181,d2cd:9094:729f:7f68:7a5e:23b3:9b21:6b35,ea:88:30:b0:2f:b3,https://picsum.photos/569/197,zhangfeng,WJ晋30836,342817198701249,中国银行,75958435-5,9145020280735233BK,文联,中山一院,南京理工大学泰州科技学院,Y1445462880,T23890720,QXR483634548452,D29069289,542623U49A525X3,201965590210505008471867392,110610503341653,410900100013733,LEWWDB332KN231961,111471818209,L7546853677172,6200319729970790400,空字第1920922号,粤交运管许可天字440106801377号,军密认字第2336号,布洛芬,非处方药,片剂,缓解轻度至中度疼痛和发热等,口服,成人：一次1-2片，每日3-4次。,心脏手术,心脏移植,外科,主要治疗各种外科疾病，如手术、骨折、创伤等,手术台、手术灯、床位等,主任医师、副主任医师,红细胞计数,CT扫描,计算机断层扫描（CT扫描），是一种用X射线技术来创建图像的医疗诊断工具。,注射器,糖尿病,全身,手术刀、剪刀、止血钳,保险,异常,未婚,离职,佛教,局部麻醉,轻度疼痛,B型,已开封,产钳助产,乳腺X线摄影,臀先露,血压偏高,心悸,控制饮食、规律运动、注射或口服降糖药物及胰岛素等。
七月十七日,一九七七年七月十七日十一时二十分,二零零七年,4月,瓦里斯和富士那群岛,海东,吉林省延边朝鲜族自治州龙井市智新镇新安村,匡玲,Female,632701198102088462,139-3185-4143,0836 4555 212,党员,汉族,自考,医学检验技术,恩悌网络有限公司,税务经理,cfd8395e-c85a-11ed-9ebb-f4b5204be593,tfeng@sina.org,1dcaa586e43b99e81a4c0b662624c88946c9bc5e,meng.cn,85.182.110.232,40:a707:d556:deab:91a2:72a:cd64:e6b1,fb:a4:58:8c:d2:b7,https://picsum.photos/215/333,sunshuying,WJ藏58873,4681260986529,十堰农村商业银行,74762931-7,9244010447719266B3,山西省发改委,徐州市中医院,重庆冶金成人学院,C9262535862,T07747987,GIB794296246143,D65757693,433021W0P2NAJQ7,202131046350181010033868800,141130129832351,410900100013412,LEWWDB332KN231559,153948211209,L7798452654210,6258146319564810240,海字第1876871号,冀交运管许可开字130205297321号,军密认字第9927号,丹参酮丙胶囊,处方药,胶囊,改善心脑血管微循环,口服,成人：一次2-3粒，每日3次，饭后。 ,骨科手术,颈椎内固定术,肿瘤内科,主要进行肿瘤内科治疗,放射治疗设备、化疗药物、肿瘤标志物检测仪等,主任医师、副主任医师、医师、护士,酮体,心内电生理检查,心内电生理检查是一种测量和记录心脏电活动的医学检查方法，通常通过导管插入心脏进行。,皮穿针,淋巴结肿大,头颈部,手术马克、氧气瓶、吸气器,公费医疗,无,离异,自雇,全在神中论,硬膜外麻醉,中度疼痛,Rh阳性,已开封,自然分娩,乳房超声,横位,血脂异常,呕吐,避免饮酒、控制饮食、规律生活、进行药物治疗等。
一九八二年六月,1982-06-15 23:37,1977年,九月,莱索托,山东,湖南省志强市新城徐街5136号,陈辉,Male,441521198909110809,86 18913689528,0728-341-9029,党员,汉族,全日制高职,国际经济发展合作,通际名联传媒有限公司,副总监,c113dcea-8a97-4425-94be-d80a378854b3,kwu@yahoo.net,2eadbdbe993445ec1fac30244e259ea685151d5ca4206d18da8160ee2e2e446d,gb.cn,58.186.0.152,5643:d2e4:9d66:3ca2:ea7f:8cf7:89e8:bdbc,84:ee:e2:5e:8b:3e,https://ek.net/,yuanwei,云H 8Y9PF,4667740932819462079,美国运通银行,34913542-6,5232031130B3U93F5E,浙江杭州残联,海南国际鹤春园疗养康复中心门诊部,曹妃甸职业技术学院,R3458820283,T55082972,GGY940808968093,G72301570,432322LJEL2QUA1,200041018511422989369606144,145370402974199,410900100014180,LEWWDB332KN232022,125718034209,L6773826878209,6282827734554850304,成字第0416211号,豫交运管许可沁字410882516237号,军密认字第0520号,硫酸氨溴索,处方药,口服液,缓解支气管哮喘、慢性阻塞性肺疾病等,口服,成人：一次5ml，每日2-3次。,骨科手术,股骨头置换术,神经内科,专业治疗各种神经系统疾病，如脑卒中、脊髓疾病、癫痫等,脑电图仪、神经功能治疗仪、颈椎牵引治疗仪等,主任医师、副主任医师、医师、护士,总蛋白（TP）,磁共振胆管造影,磁共振胆管造影是一种通过磁共振成像检查人体胆道和胆囊的一种诊断方法。,止血钳,贫血,全身,电凝器、麻醉机、注射器,医疗补助,死亡,未婚,在职,泛神论,脊麻醉,轻度疼痛,O型,未开封,产钳助产,乳腺X线摄影,臀先露,白细胞计数升高,咳痰,忌食辛辣、酒类食品，避免过度劳累、保持情绪稳定，同时需要每年进行定期检查。
2016 08 7,一时三十分五十六秒,2019年,February,博茨瓦纳,青海黄南藏族自治州,新疆维吾尔自治区淑兰县南湖廖路8338号,杨建华,男,530128198804049785,13925511160,0851-8690-247,预备党员,汉族,普通专科,克罗地亚语,华成育卓信息有限公司,样衣工,88f0ef47-c85a-11ed-b8e6-f4b5204be593,dhe@163.net,3839dfa1d1e4d8eb9f1777a1481b5b4745983d78,taofang.cn,145.116.97.241,d646:27ed:d46b:bac:d66b:ea4c:c38c:d2d,7c:36:db:63:41:1d,https://picsum.photos/418/731,zxy,沪PN2Z3B,572513588903,哈尔滨银行,TP3G5RE4-5,913413228143338914,出版社,浙江大学医学院附属妇产科医院,沂水县龙家圈街道港埠口小学,X3942902418,T53550786,JIT490965620903,D64486220,332528KHM85KYC1,200443453640520991695175680,130623021408109,410900100013510,LEWWDB332KN231887,195130996209,L5031051394011,6250297162021869568,装字第2327151号,宁交运管许可回字640401422514号,军密认字第2655号,阿莫西林,抗菌药,片剂,治疗中耳炎、上呼吸道感染等,口服,成人：一次0.25-0.5g，每日3-4次,神经外科手术,脑肿瘤切除术,骨科,主要治疗各种骨科疾病，如骨折、脱臼、关节病变等,X光机、CT机、床位等,主任医师、医师,血红蛋白,乳腺X光,乳腺X线检查是一种通过X线技术来检查乳房的医学图像检查。,手术刀片,胆囊炎,腹部,输液器、切割钳,医疗救助,稳定,离异,退休,伊斯兰教,表面麻醉,中度疼痛,AB型,已过期,产瘤助产,乳房超声,横位,心电图异常,气促,休息、维持水分、按时服药、进行必要的氧气治疗、避免交叉感染等。
2000年12月,12/31 16:34,1990年,11月,科摩罗,香港特别行政区,宁夏回族自治区超市锡山赵路,李秀芳,女,511803199003210949,+8618157389347,05979585979,中共党员,汉族,电大,放射医学,东方峻景科技有限公司,市政工程师,34ad1052-33ab-4b31-8169-44df72eced81,wangchao@yahoo.com,aaf7d87b04a5be16dc0469469d25bf74,wq.cn,10.186.196.152,afa6:903f:eb56:6539:2085:1ac6:8c01:9488,a0:39:42:11:28:a7,https://placekitten.com/560/911,xingtao,WJ津88415,6596766004681055,徽商银行,24156565-1,93360123119958507Q,湖南省供销社,宜昌市第一人民医院,罗庄区黄山镇安头小学,K8737980082,T10707790,DWU569462937260,E59804748,6103005LH8MW5HX,202114788211302987450023936,147440782845783,410900100014228,LEWWDB332KN231812,130220265209,L4231024478617,6228979224825159680,成字第6185288号,皖交运管许可贵字341702289908号,军密认字第6526号,克林霉素,抗菌药,胶囊,治疗多种感染病,口服,成人：一次0.25-0.5g，每日3-4次,泌尿外科手术,输精管结扎术,感染科,专业治疗各种感染性疾病，如肺炎、脑膜炎、乙肝等,细菌培养仪、快速诊断试剂盒、抗感染药物等,主任医师、副主任医师、医师、护士,直接胆红素（DBIL）,眼压检查,眼压检查是一种测量眼内压力的医学检查方法。,绷带,弱视,眼部,手术椅、调节器、吸氧机,自费和医保结合,异常,丧偶,退休,不可知论,静脉麻醉,重度疼痛,Rh阴性,已过期,剖腹产,磁共振成像,斜位,尿蛋白阳性,食欲减退,忌烟酒、注意饮食素质和卫生干净、控制脂肪等药物的摄入、摄生保健等。
1987/04/28,10:33,2006,June,中华人民共和国,湖南郴州,河北省合山县孝南刘街,刘凯,男性,210781196703014189,18119152357,08133981950,九三学社社员,汉族,夜大,航海技术,佳禾信息有限公司,网店店铺管理员,b5519856-c85a-11ed-acd5-f4b5204be593,ssu@sohu.org,c89c6cc829f61e94a8ef1c57a8a3fe1e23c5c8689618494712be6a3a8dd6ff27,hanqin.cn,217.72.254.104,2345:789f:74ce:1c3a:da35:6987:58ed:8dce,3c:56:ff:79:fb:3e,http://42.cn/,lihongmei,WJ湘32601,676123144872,瑞士银行,48531165-8,924413225105255954,社科联,江西省第二人民医院,平邑县平邑街道常柴希望小学,U7020708906,T04771604,UKM650927640844,D82392459,542400FW5LCBCP0,202052444621025983319769088,148522126862774,410900100013565,LEWWDB332KN232034,170150346209,J7492514060562,6229593725894200320,广字第5462335号,鲁交运管许可曹字371721610835号,军密认字第9423号,泼尼松片,处方药,片剂,治疗炎症和免疫相关的疾病,口服,剂量因人而异。,泌尿外科手术,肾动脉栓塞(介入),泌尿科,主要进行泌尿系统疾病的诊治和手术，如膀胱癌、肾结石等,B超检查仪、腔镜、输尿管镜等,主任医师、副主任医师、医师、技师、护士,游离四碘甲状腺原氨酸（FT4）,甲状腺功能检查,检查患者甲状腺功能指标，了解患者甲状腺疾病情况,麻醉药,自律神经紊乱,全身,电凝器、停血带、手术刀,医疗补助,死亡,离异,自雇,万物有灵论,脊麻醉,中度疼痛,O型,未开封,剖腹产,乳房超声,横位,肝功能异常,头晕,饮食要注意富含钙、维生素D，加强锻炼以有利于康复。术后按医生要求进行紧急康复等指导。
2007年11月,11月08日12时03分51秒,1977,十月,中国,浙江,云南省楠市清浦马街c座,陆瑞,男,450328195907195782,18000460888,0565 5617 6513,致公党党员,汉族,普通硕士,空天智能电推进技术,太极科技有限公司,保险培训师,8570aa5f-9624-46db-b943-a302ca99bb24,dengxia@sohu.com,17c9247d494f163221e2b911cda6c88e,min.com,81.171.50.152,2b7a:cef6:58c3:3423:cd0f:6c82:a5aa:b46a,eb:92:52:30:a8:a4,http://www.zhouren.cn/,gaodandan,吉RU6B047,4194217611643121874,国家开发银行,68NRG7QW-3,595329275LHJ2TJ457,重庆市省直机关工委,苏州大学附属第二医院,潍坊市潍城区西关街办中心小学,B2564387993,T92283919,SOO428546615122,E64393357,542122E6C8LBJ68,200063817210910997152268288,146522725397410,410900100013967,LEWWDB332KN231841,140541333209,J1336539783565,6259786824750510080,广字第2124111号,粤交运管许可佛字441821747366号,军密认字第9083号,乙酰半胱氨酸,非处方药,片剂,增强免疫力,口服,每次每日1次，每次2-3片。,泌尿外科手术,肾上腺切除术,肿瘤科,主要进行肿瘤的诊治和化疗、放疗，如乳腺癌、肺癌等,电子直线加速器、化疗药物、PET-CT检测仪等,主任医师、副主任医师、医师、技师、护士,免疫球蛋白A（IgA）,心脏彩超,使用彩色多普勒超声技术检查心脏，了解心脏结构和功能情况,手术眼镜,痔疮,直肠,除颤器、手术刀、导管,医疗补助,好转,丧偶,退休,印度教,脊麻醉,重度疼痛,O型,未开封,产钳助产,磁共振成像,斜位,白细胞计数升高,体重波动,忌食辛辣、酒类食品，避免过度劳累、保持情绪稳定，同时需要每年进行定期检查。
一九九三年五月,五月二十一日二十二时二十一分三十七秒,2012,11月,约旦,宜春,天津市海燕县东城高路7690号,张秀荣,女性,542121560201580,14571834815,0599-5359-7683,中共预备党员,汉族,普通博士研究生,曲艺,商软冠联科技有限公司,理货员,b5e7f1a7-c85a-11ed-9496-f4b5204be593,weilei@163.net,bebe5afcd9dda4459f209df35e6d18ec30f7f7f9,dengdong.cn,151.203.204.231,52b9:7b92:8bfe:afb4:e79:27b6:2411:60c9,6f:72:16:4d:15:ff,http://www.juan.cn/,chenyan,WJ新6526T,5520559073153608,大连农村商业银行,9CCFYEYH-4,9153332417774657A3,药监局,天津中医药大学第一附属医院,东明县菜园集镇王令小学,M4194734652,T69460587,OZV323327104058,D28850715,332623L42QM6MCX,199931320152825991572488192,143511900296046,410900100013398,LEWWDB332KN231516,132916107209,J4922657947205,6219014362243510272,济字第9239983号,豫交运管许可舞字411121210663号,军密认字第3973号,美洛昔康片,处方药,片剂,治疗神经官能症、癫痫等疾病,口服,成人：一次5-10mg，每日3次；剂量逐渐增加，最大量为30mg。,眼科手术,白内障超声乳化+人工晶体植入术,耳鼻喉科,主要治疗耳鼻喉疾病，如鼻窦炎、中耳炎、听力损失等,电子耳疗仪、红外线治疗仪、咽喉镜等,主任医师、副主任医师、医师、护士,活化部分凝血活酶时间（APTT）,阴影X光检查,阴影X光检查是一种通过X射线技术检查肺部的医学影像检查方法。,轻随针,淋巴样白血病,全身,电钻、手术刀、手术钩,医疗救助,无,复婚,无业,卡巴拉,表面麻醉,麻痹,AB型,已过期,产瘤助产,乳腺活检,足先露,心电图异常,咳痰,休息、维持水分、按时服药、进行必要的氧气治疗、避免交叉感染等。
二零零五年三月一十六日,二十时十一分十四秒,2014,十二月,Jersey,宁夏回族自治区固原,四川广安市邻水县同石乡合水村,吴海燕,Female,340823580202947,18791649092,05123042803,群众,汉族,全日制博士,药事管理,双敏电子信息有限公司,裁床,f2a15c7b-e739-4363-ac61-00f65f602a16,xiuyingwang@189.net,e795fd089662f82ff2329a3a9f92c5b0,lei.cn,39.187.226.163,7ef2:eacd:63ba:7ff1:2608:4e8a:fad9:1352,d4:84:3b:24:5a:04,https://jie.cn/,danxiuzhen,桂N-CPT3J,378243400675955,中国农业银行,73467819-5,113713013U8TX2GF25,湖北省无线电管委会办公室,湖北医学院附属第二医院,北京农学院,N9513297993,T55661891,TVR158377620912,G38286203,612600XQPEUQD27,20005162844142619240115763X,110330502228086,410900100014228,LEWWDB332KN231490,182963488209,L8260103820056,5324509236804729856,后字第5666697号,云交运管许可兰字533325428988号,军密认字第2754号,益生菌,非处方药,胶囊,维护肠道健康、改善免疫力,口服,1-2次/日，每次1-2粒。,整形手术,双眼皮手术,肝病科,主要进行肝病的诊治，如肝炎、肝硬化等,肝脏造影剂、药物治疗仪、肝病筛查仪等,主任医师、副主任医师、医师、技师、护士,游离三碘甲状腺原氨酸（FT3）,血脂检查,检查血液中的胆固醇和甘油三酯等脂类物质含量，了解患者心血管情况,测血糖仪,肥胖,全身,手术器械盘、手术钩、电钻,医疗救助,失访,未婚,退休,灵性主义,表面麻醉,轻度疼痛,AB型,已过期,产瘤助产,乳腺X线摄影,臀先露,尿蛋白阳性,头痛,按时、按量使用抗结核药，密切监测用药效果，注意肺结核菌的扩散和感染。定期检查肝功能、血常规；保证充足的营养、调整饮食。
201104,04-13 03:02:45,1986年,7月,索马里,澳门特别行政区,新疆维吾尔自治区大冶市萧山刘街W座,倪莉,女性,520401195206268241,15321111165,0798 1083 8813,普通居民,汉族,非全日制中等专业,华文教育,飞利信科技有限公司,医疗器械市场推广,3d73882e-688a-420e-9d0d-86414194abcb,yan98@aliyun.com.com,b6a8fe234931074d4d369d10ed8e9d580c98fe9694108fba7ca87d19368ecda8,haowen.cn,89.69.151.121,44a5:2b7b:f692:3bd:20c1:f01d:ac88:8331,fb:6d:2d:9f:57:92,https://dummyimage.com/760x875,lzq,WJ琼5988H,30072449653867,瑞士银行,36389721-6,9115078447718840A0,浙江工商局,福建省人民医院,枣庄市体育运动学校,X9978184636,T25194450,JFH686478637961,P31153484,430104D5K2PL9G3,201323398532722001335812096,110331126900692,410900100013878,LEWWDB332KN231921,170074546209,J4372509491041,6229539668433080320,证字第3136448号,鲁交运管许可临字371581788819号,军密认字第7743号,奥利司他,处方药,胶囊,治疗便秘等症状,口服,成人：起始剂量为8mg，每日1次，根据需求逐渐增加到每次24mg，最大量为每日72mg，尽量在同一时间口服。,骨科手术,肱骨近端关节置换术,老年科,主要进行老年疾病的诊治和护理，如认知障碍、帕金森氏症等,康复训练机、健康管理仪、心肺复苏器等,主任医师、副主任医师、医师、技师、护士,抗核抗体（ANA）,尿常规检查,检查尿液中的各项指标，了解患者身体状况,氧气瓶,心律失常,心脏系统,手术马克、手术钩、麻醉机,公费医疗,结束隔离,离异,学生,全在神中论,硬膜外麻醉,中度疼痛,Rh阳性,已开封,产瘤助产,乳房超声,横位,血压偏高,浮肿,饮食补钙、户外运动、避免长期服用激素和抗癫痫等药物。
一九七一年八月八日,21:01:29,二零零三,十月,CN,新疆维吾尔自治区,宁夏回族自治区沈阳市上街郑街,李斌,男,451027200401099998,188 4543 8778,0759 7856 931,党员,汉族,本科,电子科学与技术,盟新网络有限公司,主管,750dfe16-a3b4-48a1-b01c-ac087cb3ebb3,lqian@qq.com,97af61d146a1797ed2efe6d66cb0d0b73e460a98,pingcao.cn,94.173.122.219,1fb1:5261:e7ad:67dd:2865:59a1:d543:597d,c6:02:80:e2:2d:9b,https://placekitten.com/887/110,wn,WJ宁68891,4575510603027,大连银行,Y0R1UDGB-9,11620801QCTKXH2U9X,丽水文联,南京铁道医学院附属医院,成武县九女集镇李胡同小学,L9663422162,T08220837,PLV458733198854,P68305360,5101123GB224901,201021859510801004486459392,130330104052193,410900100013565,LEWWDB332KN231771,166999497209,J6717856682714,6200198814778340352,后字第4028500号,湘交运管许可郴字432821483390号,军密认字第0137号,头孢克洛,抗菌药,注射剂,治疗呼吸道感染、肺炎等,静脉滴注,每次1-2g，每日2-4次,骨科手术,髌骨修复术,中西医结合科,中西医结合治疗，以中药、针灸、推拿、艾灸结合西医诊疗手段,中药材熬药器、理疗治疗仪、蒸汽器等,主任医师、副主任医师、医师、护士,球蛋白（GLB）,血清蛋白质测定,血清蛋白质测定是一种用于检测血液中蛋白质水平的医学检测方法。,手术镜,子宫肌瘤,盆腔,钳子、器械盘、手术钩,医疗救助,失访,已婚,实习,无神论,表面麻醉,无痛,AB型,已过期,自然分娩,乳腺触诊,头先露,心电图异常,活动时气促,控制饮食，避免吃太热致、刺激性的食物。加强康复锻炼，用药时间不宜过长也不要频繁换药。
一九八一年四月,04-28 13:02,2020年,9月,Uganda,随州,吉林省倩县高坪佛山路,张健,m,371322196912277317,+86 13399821095,0437-235-4910,民建会员,汉族,非全日制普通博士,医疗产品管理,太极科技有限公司,MCU...),74108816-c85a-11ed-9f07-f4b5204be593,xufang@189.com,3466850aa1e722fad1ecf508c030e253be9aa03c,longwan.cn,62.247.47.216,aec7:8b68:c038:8f59:fa12:f6f9:d37f:81d3,bb:7f:0d:cf:1b:9f,https://placekitten.com/6/66,xuwei,新Z-UQJAP9,375891850006924,中国农业银行,13393874-8,9364042514346649AB,浙江宁波药监局,绵阳市中心医院,安徽电子信息职业技术学院,M6944366634,T91746435,FFA687386104366,G44701805,431002T3WBG3DD5,200834031130200016641064960,145340503465635,410900100014146,LEWWDB332KN231255,159252803209,J1940515396405,2556460197552710144,参字第9380231号,皖交运管许可凤字340421920547号,军密认字第1881号,格列塞吗,处方药,片剂,治疗糖尿病等疾病,口服,餐后服用，每日1次，用量因人而异。,耳鼻喉科手术,喉部息肉切除术,口腔颌面外科,主要进行口腔颌面手术，如牙齿拔除、牙髓治疗、口腔肿瘤切除等,口腔X线机、口腔CT、口腔相机等,主任医师、副主任医师、医师、技师、护士,葡萄糖（GLU）,颈部X光,颈部X线检查是一种检查颈部结构和健康的医学影像检查方法。,热疗灯,乳腺炎,乳房,绷带、麻醉机、电钻,自费,结束隔离,已婚,无业,基督教,全身麻醉,无痛,A型,未开封,自然分娩,乳腺触诊,头先露,肝功能异常,心前区疼痛,宜避免接触变态反应源，如花粉、毛发、尘螨等。要嘱患者学会正确使用雾化器和吸入器的方法，保持低盐低脂饮食习惯。
2016/12,2016/12/15 18:43,一九八一,四月,中华人民共和国,黑龙江七台河,西藏自治区西宁县滨城石家庄路C座,侯琳,女,52262219981220489X,18121966223,05594183554,中共党员,汉族,非全日制初中,航空服务艺术与管理,盟新科技有限公司,客服主管,c3ab8257-c85a-11ed-ba24-f4b5204be593,xueming@aliyun.com.net,d8f66534c0093654d604b351510583901742d9f4ac6d1e6f1af462b2d82c38ee,59.cn,168.20.224.197,b11d:a674:9575:e3cf:893c:87dc:5b5b:9e94,32:26:e6:fb:cc:77,https://dummyimage.com/577x296,wanglj,WJ云82633,180046135732175,交通银行,78626312-7,11141124FFUQ88G263,民委,无锡市丝绸印染总厂卫生所,邹平市魏桥镇印家小学,M7178420727,T24465814,XXN124637042768,P98601137,412728KM0N287H3,200434843440101994220486656,145612133296009,410900100013699,LEWWDB332KN231214,151785438209,L7981098647172,6226731124435959808,济字第1118547号,川交运管许可雅字511801769495号,军密认字第3547号,美托洛尔,处方药,片剂,降低血压、治疗痛经等疾病,口服,成人：每日1次，20-40mg。,心血管外科手术,主动脉瓣膜置换术,介入治疗科,主要进行介入治疗手术，如血管内介入手术、癌症介入治疗等,CT引导下穿刺、血管造影仪、介入治疗仪等,主任医师、副主任医师、医师、技师、护士,白细胞计数（WBC）,心脏瓣膜手术,心脏瓣膜手术是一种治疗心脏瓣膜疾病的手术方法，通常需要重复访问医院和医生进行检查和治疗。,切口剪,子宫内膜异位症,盆腔,电钻、吸氧机、手术剪刀,自费和医保结合,好转,未婚,离职,神道教,静脉麻醉,轻度疼痛,Rh阴性,已过期,剖腹产,乳腺X线摄影,臀先露,肺功能受损,咳痰,忌烟酒、注意饮食素质和卫生干净、控制脂肪等药物的摄入、摄生保健等。
09月23日,1993年09月23日 11:47:50,1985,三月,中华人民共和国,浙江省,山西省长春县魏都巢湖路3997号,方欣,Female,522725194002182045,8613291011937,0917500634,党员,汉族,非全日制高职,祖鲁语,晖来计算机网络有限公司,锅炉工程师,8becfe64-ed02-4b02-ae95-0128eb65b771,lifang@189.net,7061b2b8325e8388ef0fc46042f718e54fde8eb7037e97666741de108278d7b9,yongchao.net,90.199.12.211,81fd:22fb:da43:b64:b1c8:90f7:ae99:1f39,4d:36:a7:80:0c:8e,https://placekitten.com/526/568,gaoshulan,黑M XM1PR,6011460420045692,江南农村商业银行,21533345-1,92640522228070224B,云南党史研究室,白求恩国际和平医院,山西省政法管理干部学院,K9933292998,T15026954,QSD071606142050,D11834849,220501GX5JGKW76,200246875532224002860777472,110630203637273,410900100013794,LEWWDB332KN231479,119411436209,J2441656004741,6222890776897800192,装字第5901448号,冀交运管许可曲字130634733750号,军密认字第5087号,布洛芬,非处方药,片剂,缓解轻度至中度疼痛和发热等,口服,成人：一次1-2片，每日3-4次。,眼科手术,白内障手术,烧伤科,为烧伤患者提供全面的救治和康复服务,体外循环设备、烧伤整形康复系统、神经电生理检测系统等,主任医师、副主任医师、医师、护士,总胆固醇,心脏超声,心脏超声是通过超声波技术来检查人体心脏和血管的一种无创性检查方法。,导管,胃炎,消化系统,腔镜、切针、侧切钳,医疗救助,建议隔离,复婚,在职,卡巴拉,表面麻醉,麻痹,AB型,已过期,产瘤助产,乳腺活检,足先露,尿蛋白阳性,发热,按时、按量使用抗结核药，密切监测用药效果，注意肺结核菌的扩散和感染。定期检查肝功能、血常规；保证充足的营养、调整饮食。
一九七零年一十二月,12/08 19:55:13,一九八七年,December,中国,河南省,云南省林县大兴刘路L座,严秀英,女性,522623197702070883,139 1714 6304,04215562753,共青团员,汉族,普通小学,劳动教育,黄石金承科技有限公司,可靠度工程师,adc6cb1d-c85a-11ed-ae02-f4b5204be593,li29@gmail.org,eccddabf7d3e6747dbf96508936f9c29,fu.cn,44.0.244.89,1f76:339d:ea3c:dae9:aef5:2b0e:f548:745a,37:33:9e:ec:ac:14,https://www.jiefu.cn/,wangyong,川S 9J7BM8,2286795804345466,海门农村商业银行,MXRQ5BH9-2,525227283UPQHUG58K,湖南省组织部,无锡市新区新安街道社区卫生服务中心,贵州电子信息职业技术学院,Y4025728100,T40785517,QBK636845706728,D28329926,230183BAC7BQWXX,200832005510321985772584960,130410304391818,410900100013263,LEWWDB332KN231933,157559926209,J8944408540092,6225182614985709568,北字第7026208号,晋交运管许可石字142328730912号,军密认字第4615号,低分子肝素钙注射液,处方药,注射剂,治疗静脉血栓、肺栓塞、心肌梗死等,皮下注射或静脉注射,剂量因病而异。,骨科手术,股骨截骨重建术,骨科,主要进行各种骨科手术和骨折等的治疗，如关节置换、骨折复位等,X线设备、骨科手术器械、脊柱脊髓检查仪等,主任医师、副主任医师、医师、技师、护士,D-二聚体（D-D）,喉部镜检查,采用内窥镜进入喉部进行检查，了解喉部疾病情况,手术器械盒,心脏杂音,心脏系统,吸氧机、硬膜钳、显微镜,医疗救助,恶化,离异,离职,伊斯兰教,表面麻醉,中度疼痛,AB型,已过期,自然分娩,乳房超声,横位,心电图异常,多毛,控制饮食，避免吃太热致、刺激性的食物。加强康复锻炼，用药时间不宜过长也不要频繁换药。
